,country,event,name,dist_km,year,finishers,duration
1453,ITA,109364,Ultra del Turchino,50.0,2024,192,0 days 03:56:07.750000
1293,HUN,107538,Matraberc Trail,54.0,2024,192,0 days 05:09:54
1080,POL,105590,III Ultramaraton Szlakiem Kotła Świdwińskiego,60.0,2025,191,0 days 04:20:46.666666666
548,FRA,102977,Le Bretagne Ultra Trail 112km,112.0,2025,191,0 days 09:56:56.250000
380,BEL,102042,The Longest Day 50km,50.0,2024,190,0 days 04:01:04.750000
710,FRA,103999,Marathon des Burons solo,45.0,2024,189,0 days 03:45:28
1607,FRA,110804,Gruissan Poli Trail,50.0,2024,189,0 days 04:01:34.666666666
792,FRA,104180,l'UltrAriège 101km,101.0,2024,189,0 days 14:07:19.500000
391,FIN,102073,Vaarojen Ultramaraton 65km,65.0,2024,189,0 days 06:38:08.500000
817,FRA,104259,Ultra-Trail Côte d'Azur Mercantour-50km,50.0,2021,189,0 days 06:33:32
1652,GRE,111112,Zagori Mountain Race - TeRA 80km,73.0,2022,189,0 days 09:14:11.500000
1362,ITA,108247,Dolomiti Extreme Trail 72 km,72.0,2024,188,0 days 10:23:52.500000
1236,ITA,107376,Malcesine Baldo Trail,52.0,2025,188,0 days 05:43:57.500000
623,SWE,103526,Uka Pain 50km,50.0,2024,188,0 days 04:05:51
1467,CZE,109511,Krakonosova Stovka 50 km,50.0,2024,187,0 days 05:22:55.750000
542,FRA,102953,Ultra Trail du Vignoble Nantais,77.0,2025,187,0 days 06:10:41.333333333
617,FRA,103516,Trail Des Allobroges,55.0,2024,187,0 days 06:41:39.333333333
1127,NED,106218,SallandTrail 50 km,50.0,2025,187,0 days 03:39:59
982,SVK,104860,L'udova 50,51.0,2025,186,0 days 05:15:56
836,FRA,104352,Trail du Gypaète - La Gypaète,54.0,2024,186,0 days 06:34:04
1095,ESP,105700,Kangas Mountain Maxi Trail,58.0,2024,186,0 days 05:54:58
634,AUT,103605,Innsbruck Alpine Trailrun Festival K85,85.0,2025,186,0 days 08:54:37.200000
1517,POL,109794,Bison Ultra-Trail 100,104.0,2024,186,0 days 09:27:28.250000
518,GER,102893,thüringenULTRA 100 km,100.0,2024,185,0 days 08:30:08.333333333
543,FRA,102958,Trail du Pays d'Argonne 45 km,45.0,2025,185,0 days 03:36:31.250000
896,ESP,104557,Petit Trail Costa Nord Menorca (PTCN),58.0,2024,184,0 days 05:16:18.666666666
386,GBR,102051,Rowbotham's Round Rotherham,80.467,2024,183,0 days 06:59:19
353,GBR,101899,Greensand Country Ultra Trail,50.0,2024,183,0 days 03:49:36.250000
737,FRA,104070,Grand Raid du Guillestrois et du Queyras - Grande Traversée,100.0,2024,182,0 days 13:04:59.333333333
1668,LUX,111343,Trail Uewersauer,57.0,2024,182,0 days 04:12:30.666666666
902,SUI,104564,SwissPeaks 70,71.0,2024,181,0 days 08:19:59
810,GBR,104237,Lakes Traverse 100km,100.0,2025,181,0 days 10:53:59.750000
1295,MLT,107541,XTERRA Malta Gozo Trails,50.0,2025,181,0 days 04:28:42.200000
587,FRA,103223,Festa Trail Pic Saint-Loup - Hérault Trail,76.0,2023,181,0 days 08:52:07.666666666
1224,FRA,107187,Trail Tour du Massif Montmorencéen (2T2M) - 60km,65.0,2025,180,0 days 05:51:01.333333333
165,GER,99925,Ultratrail Fränkische Schweiz 66km - DM Ultratrail,66.0,2025,180,0 days 05:45:23.800000
1400,ITA,108435,DoppiaW Ultra 70,70.0,2024,180,0 days 08:52:52.500000
82,GBR,98280,The Vogum - Vale of Glamorgan Ultra Marathon,64.3736,2024,180,0 days 05:44:30
1274,FRA,107505,Traversée Sud de France - 70km,70.0,2024,180,0 days 09:05:15.666666666
87,GBR,98325,The PIGUM 30,48.2802,2024,179,0 days 04:24:00
333,FRA,101704,Ultra Trail Du Périgord - 90km,90.0,2025,179,0 days 08:18:18
1613,FRA,110811,La TransMartinique,134.0,2024,178,0 days 18:41:25.333333333
1562,FRA,110085,La Boucle du Coeur de l'Est - 56km,56.0,2024,178,0 days 07:24:20
120,GBR,98949,West Highland Way Race,153.0,2024,178,0 days 15:21:06
428,FRA,102204,Trail des 3 Pics,56.0,2024,177,0 days 06:55:49.666666666
1692,POL,111753,Garmin Ultra Race Gdansk - 84km,84.0,2024,176,0 days 07:18:37.250000
1082,CRO,105613,Polojska ultra 50km,50.0,2025,176,0 days 03:03:59
1062,GBR,105402,Roseland August Trail – Black Rat,51.49888,2024,176,0 days 04:29:52
798,GBR,104187,TEC Lulworth Cove 53km,53.0,2024,175,0 days 05:26:08.600000
1195,FRA,106931,Ultra Trail des Géants - Le Méga Trail de l'Ouest,72.0,2024,175,0 days 08:49:18
289,GBR,101216,North Downs Ridge 50km Ultra Race,50.0,2025,174,0 days 03:40:40
1154,GBR,106730,Maverick X Series North Downs,52.0,2024,174,0 days 04:13:39
163,ITA,99923,Valmalenco Ultradistance Trail,90.0,2024,174,0 days 13:28:50.500000
1633,BUL,110981,Pirin Ultra 66km,66.0,2024,174,0 days 09:49:11
1509,ROU,109770,Bucovina Ultra Rocks - Lady's Rocks,48.0,2024,173,0 days 05:21:15.500000
1458,POL,109420,Lemkowyna Ultra Trail 70,70.0,2024,173,0 days 06:07:17.333333333
1217,ITA,107115,Duerocche Ultra Trail,51.0,2024,172,0 days 04:48:29.750000
1522,CZE,109815,Lysohorský UltraTrail,67.0,2024,172,0 days 06:19:43.750000
494,FRA,102776,Trail des Collines Normandes - Le Trail des Aiglons,50.0,2025,172,0 days 03:44:39.333333333
501,TUR,102795,Cappadocia Ultra-Trail - CUT,119.0,2024,172,0 days 11:40:18.500000
1210,POL,107040,GWINT Ultra Cross 55 Km,55.0,2024,172,0 days 04:43:15
217,HUN,100581,Ultra-Trail Hungary 112 km,112.0,2024,170,0 days 11:24:10
1777,GRE,114531,Rodopi Challenge 50 miles,82.0,2024,170,0 days 09:32:47.250000
366,GBR,101971,Autumn 100 Mile Race,160.934,2024,170,0 days 14:32:45.750000
115,ITA,98829,Trail del Monte Soglio - Gir Lung,73.0,2024,170,0 days 08:39:17
1012,FRA,104980,Course Nature des Coëvrons,50.0,2025,170,0 days 03:42:46
751,GBR,104086,Chester Ultra 100,160.934,2025,170,0 days 18:57:49.800000
1572,SVK,110437,Javornicka stovka (J100),105.0,2024,170,0 days 10:17:27.333333333
